Title,Video ID,Published At,Views,Category,Type
*NEW* CRAB🦀 POST HOOK GLITCH! UNGAUARDABLE POST HOOK IN NBA2K20! *GLITCH*,ew9mB2KLFS8,4 years ago,7536,,NORMAL
*NEW* BEST DEADPOOL TATTOO TUTORIAL IN 2K20! LOOK LIKE COMP POSTSCORER IN NBA2K20!,nf2H-5VVN4c,4 years ago,26717,,NORMAL
ON GOD IM THE BEST POSTSCORER THATS A FACT! BEST COMP POSTSCORER ANYBODY GOT A PROBLEM NBA2K20!,Ll1J_8WfSNA,4 years ago,5504,,NORMAL
“Giuseppe Vuitton EXSPOSED” SCARED TO PLAY THE BEST POSTSCORER NBA2K20,_sbmCIBHHms,4 years ago,56606,,NORMAL
COMP STAGE ON 1V1 COURT! BEST POSTSCORER EVER  IN NBA2K20!,GvU7w5g7PfA,4 years ago,5399,,NORMAL
HOW TO POST HOOK ON ANY SIDE LEFT OR RIGHT! NBA2K20 TUTORIAL WITH HANDCAM!,uT0az7ZAWBM,4 years ago,12463,,NORMAL
LEGEND POSTSCORER GETS HUMILIATED FOR BEING BAD! TOXIC COMP STAGE 1V1 GAMEPLAY IN NBA2K20!,EgyIMsYpzNU,4 years ago,5011,,NORMAL
DONT CALL YOURSELF A POSTSCORER IF YOU DO THIS! NBA2K20 COMP STAGE 1V1 GAMEPLAY!,QLWsI3bNMB8,4 years ago,4920,,NORMAL
BEST POSTSCORER MATCH IN 2K HISTORY! *MUST SEE* COMP STAGE GAMEPLAY IN NBA2K20,_9uxl0RYnSQ,4 years ago,4942,,NORMAL
WHY IT TAKES SKILL TO BE A POSTSCORER NBA 2K20! IM THE  ONLY GOOD POSTSCORER IN NBA2K20! *PROOF*,8Vlf2pP_OY8,4 years ago,4953,,NORMAL
LEGEND GETS MAD BECAUSE IM A GOOD POSTCORER! *FUNNY REACTION * NBA2K20 COMP STAGE 1V1!,aXr5IergvPQ,4 years ago,4986,,NORMAL
*NEW* GLITCHY POST ROLL 🧀FOR POSTSCORERS + CENTERS! NBA 2K20 TUTORIAL +HANDCAM🧀,Q4IpjrYn5p0,4 years ago,5374,,NORMAL
HOW TO GUARD POST HOOK CHEESE AFTER PATCH 13 ! CONTROLLER CAM TUTORIAL🔒 + HOW TO BEAT COMP POSTSCO!,AKRmlQc0QQk,4 years ago,5646,,NORMAL
*NEW* BEST POSTCORER BUILD FOR THE COMP STAGE 1V1 COURT IN NBA2K20! BEST POSTCORER BUILD FOR NBA 2K2,8H9wQScZuSA,4 years ago,5725,,NORMAL
POST SCORER VS PAINT BEAST IN COMP STAGE IN NBA 2K20! WHICH ON IS THE BETTER BETTER BUILD IN NBA 2K2,uw7EG26A1yE,4 years ago,5590,,NORMAL
MOST INTENSE COMP POST SCORER MATCH IN NBA 2K20 STAGE! NBA 2K20 TOXIC COMP STAGE!,MS2Ptf3WLfM,4 years ago,5648,,NORMAL
*NEW* POST SCORER BUILD FOR THE COMP STAGE 1V1 COURT IN NBA 2K20! NBA2K20 STAGE!,HhRoqGtgYq0,4 years ago,8111,,NORMAL
THE BEST POST HOOK TO USE IN COMP STAGE 1V1! NBA 2K20 BEST POST HOOKS!,3lb85KeRmfE,4 years ago,24701,,NORMAL
COMP STAGE ON 1V1 COURT! COMP POSTSCORER VS THE BEST POSTSCORER,5o5b5_FTC68,4 years ago,19851,,NORMAL
COMP STAGE ON 1V1 COURT! BEST COMEBACK IN POST SCORING HISTORY IN NBA 2K20!,78d1E02Qo_M,4 years ago,7275,,NORMAL
*NEW* BEST SHOOTING BADGE METHOD FOR  POST SCORERS WITH A LOW SHOOTING! FAST METHOD FOR  NBA 2K20,9MXyXfbhIAY,4 years ago,15183,,NORMAL
COMP STAGE GAMEPLAY! NUMBER 1 POST SCORER IN THE WORLD!,L5Eyaf0ctm0,4 years ago,27391,,NORMAL
“COMP STAGE GAMEPLAY” *WHY YOU NEVER GIVE UP IN STAGE #2 NBA 2K20,SruHWRYitTY,4 years ago,17653,,NORMAL
"""HOW TO BECOME A COMP POST SCORER  IN STAGE 1V1"" *TUTOURIAL* *HANDCAM*  NBA 2K20",B8VFhTrYuX8,4 years ago,20032,,NORMAL
"""HOW TO DO THE NEW CLOSE SHOT FADE GLITCH IN 2K20 WITH ANY BUILD"" *TUTOURIAL HANDCAM* NBA 2K20",6VKhsss2cQE,4 years ago,12044,,NORMAL
"""THE BEST 3 POST SCORER BUILDS FOR THE 1S COURT"" NBA 2K20 STAGE",iVZomsTnKMg,4 years ago,12393,,NORMAL
“COMP STAGE SERIES AGAINST THE BEST POSTSCORER PUT THERE” *COMP STAGE 1v1* NBA 2K20,_TGrKbqd-Dk,4 years ago,29701,,NORMAL
“LEGEND POST SCORER GETS DROPPED OFF BY THE #1 POST SCORER” *TOXIC COMP STAGE* NBA 2K20,ci_2OMiOHwU,4 years ago,30116,,NORMAL
*BEST* GUARD BUILD FOR BOOTCAMP! HOW TO GET MAX BADGES FOR BOOTCAMP! THE BEST BADGES AND UPGRADES!,9PeO3RQO3vY,4 years ago,34022,,NORMAL
“EXSPOSING TRASH TALKING POST SCORER ON THE 1s COURT IN COMP STAGE” *WATER PARK EXSPOSED* NBA 2k20,YsBfXVU6wJ8,4 years ago,60680,,NORMAL
"""COMP STAGE GAMEPLAY ON TOXIC LINE UPS"" WHY IM THE BEST POST SCORERS ON NBA 2K20",jWGRzoG0gwo,4 years ago,10673,,NORMAL
COMP STAGE ON 1V1 COURT! BEST POST SCORER ON NBA 2K20,8BfjAtecaBU,4 years ago,14398,,NORMAL
“I GOT SCAMMED LIVE ON STREAM FOR 500$”  *FUNNY REACTION* NBA 2K20,hrJ7wfqLDnI,4 years ago,57921,,NORMAL
“WHY INTERIOR FORCES TAKE MORE SKILL THAN  INTERIOR FINISHERS” *FUNNY REACTION* NBA 2K20,Sl3uNhpUabA,4 years ago,52999,,NORMAL
“HOW I GOT SOLD IN BASKETBALL GODZ WITH 5 MINUTES LEFT ON LEADERBOARDS ” *FUNNY REACTION* NBA 2K20,3uBs90N4NRw,4 years ago,77046,,NORMAL
“WHY YOU NEVER GIVE UP IN A COMP STAGE GAME”. NBA 2K20 COMP STAGE GAMEPLAY+BEST WAGER OT ALL TIME,1mV4gxsVvTg,4 years ago,71783,,NORMAL
“ZULIEE EXPOSED” CAME BACK AROUND 2 TIMES AND GOT DROPPED OFF *FUNNY REACTION* NBA 2K20,IhzgZ9jhBJc,4 years ago,93298,,NORMAL
FOR 1000$ 2 OF THE BEST POST SCORERS WAGER IN STAGE 1v1!!! NBA 2k20,eCCz8LRTD-o,4 years ago,470248,,NORMAL
HOW TO GUARD POST HOOK CHEESE/POST SCORES TUTORIAL W/ CONTROLLER CAM🔒! NBA 2k20,48TjdJIibjg,5 years ago,66331,,NORMAL
*NEW* POST HOOKING BUILD IN NBA 2K20🧀 + BEST ANIMATIONS + CHEESE MOVES 🧀*HOOKS* *HOP SHOT*,AaL0rvwRrW8,5 years ago,33066,,NORMAL
Exsposed....Toxic Elites get dropped off (TOXIC COMP STAGE) Nba 2k20,WKq8LUvUPlg,5 years ago,39722,,NORMAL
How to get recognized in the 2k community....When a youtuber never has a good center! (2k20),P6OkfH1rPZ4,5 years ago,36506,,NORMAL
HOW TO WIN EVREY 1V1 GAME ON 2K20!GLITCHY POST HOOK TUTORIAL !,74AlPRGrqvQ,5 years ago,41929,,NORMAL
7’3 DEMIGOD  2k20 MIXTAPE,6172jnkJ0Ag,5 years ago,44581,,NORMAL
i play keyboard and mouse (ps4).................,DfNYNHYy6uE,6 years ago,57484,,NORMAL
Keyboard and mouse Special Montage x 200 subs,4Un1PlMglwU,6 years ago,112652,,NORMAL
I Played FLU TNB and this happened..........2k19,JCkF2cPwzfo,6 years ago,57294,,NORMAL
PLAYING WITH MY FRIENDS FROM SCHOOL ON+KEYBOARD AND MOUSE+KEYBINDS AND SENSENTIVITY,wj0hLCcs7vM,6 years ago,86015,,NORMAL
{PLAYMAKING SHARPSHOOTER MIXTAPE#1} {OVERPOWERED DRIBBLE GOD}(NBA 2k19),yU_IfiBiiFo,6 years ago,46738,,NORMAL
3:06 of Keyboard and mouse Ps4 Fortnite,a1svYospbmw,6 years ago,77266,,NORMAL
(Who wanna 1v1) Drop names below,2-AMZFO44NA,6 years ago,151007,,NORMAL
1v1 a Pro Pc player,WMB0F2TGPhE,6 years ago,113460,,NORMAL
Nobody can touch me on keyboard and mouse FORTNITE,H1e8ps-ks4g,6 years ago,174064,,NORMAL
When you play keyboard and mouse on Ps4 Fortnite,Z3NQzQUUdO8,6 years ago,339430,,NORMAL
[CRAZY DUO WIN 16 KILL] [FORTNITE BATTLE ROYALE],VIHXv5olDUg,7 years ago,973240,,NORMAL
"[DEMIGOD-POINT FORWARD 6""10 ATTRIBUTES AND MORE]",E1w98YwPkIw,7 years ago,144116,,NORMAL
[DRIBBLE - GOD  SHARPSHOOTER MIXTAPE #1] Ft.Goldybandztay,kylI0wSnGis,7 years ago,372629,,NORMAL
{2k18} {First Video},UC_DUcEpFws,7 years ago,3213808,,NORMAL
